Time_hr,Host,Type,Treatment,Description,Metric,Value,Value_clean
0,BALO,1M,1M_BALO,BALO,PFU,35,35
0,BALO,1M,1M_BALO,BALO,PFU,27,27
0,BALO,1M,1M_BALO,BALO,PFU,32,32
0,BALO,1M,1M_BALO,BALO,PFU,21,21
0,BALO,1M,1M_BALO,BALO,PFU,30,30
0,BALO,1M,1M_BALO,BALO,PFU,30,30
0,BALO,1M,1M_BALO,BALO,PFU,28,28
0,BALO,1M,1M_BALO,BALO,PFU,26,26
0,BALO,1M,1M_BALO,BALO,PFU,20,20
0,Phage,1M,1M_Phage,Phage,PFU,367,367
0,Phage,1M,1M_Phage,Phage,PFU,376,376
0,Phage,1M,1M_Phage,Phage,PFU,278,278
0,Phage,1M,1M_Phage,Phage,PFU,23,23
0,Phage,1M,1M_Phage,Phage,PFU,314,314
0,Phage,1M,1M_Phage,Phage,PFU,354,354
0,Phage,1M,1M_Phage,Phage,PFU,325,325
0,Phage,1M,1M_Phage,Phage,PFU,328,328
0,Phage,1M,1M_Phage,Phage,PFU,324,324
0,BALO,2M,2M,Bd1_Phage,PFU,46,46
0,BALO,2M,2M,Bd1_Phage,PFU,38,38
0,BALO,2M,2M,Bd1_Phage,PFU,39,39
0,BALO,2M,2M,Bd1_Phage,PFU,27,27
0,BALO,2M,2M,Bd1_Phage,PFU,20,20
0,BALO,2M,2M,Bd1_Phage,PFU,32,32
0,BALO,2M,2M,Bd1_Phage,PFU,29,29
0,BALO,2M,2M,Bd1_Phage,PFU,32,32
0,BALO,2M,2M,Bd1_Phage,PFU,37,37
0,BALO,2M,2M,Bd1_Phage,PFU,201,201
0,BALO,2M,2M,Bd1_Phage,PFU,231,231
0,BALO,2M,2M,Bd1_Phage,PFU,355,355
0,BALO,2M,2M,Bd1_Phage,PFU,267,267
0,BALO,2M,2M,Bd1_Phage,PFU,333,333
0,BALO,2M,2M,Bd1_Phage,PFU,323,323
0,BALO,2M,2M,Bd1_Phage,PFU,298,298
0,BALO,2M,2M,Bd1_Phage,PFU,289,289
0,BALO,2M,2M,Bd1_Phage,PFU,214,214
0,BALO,2M,2M,Bd1_Phage,PFU,15,15
0,A.sobria,2M,2M,Bd1_A.sobria,PFU,38,38
0,A.sobria,2M,2M,Bd1_A.sobria,PFU,46,46
0,A.sobria,2M,2M,Bd1_A.sobria,PFU,26,26
0,A.sobria,2M,2M,Bd1_A.sobria,PFU,27,27
0,A.sobria,2M,2M,Bd1_A.sobria,PFU,19,19
0,A.sobria,2M,2M,Bd1_A.sobria,PFU,28,28
0,A.sobria,2M,2M,Bd1_A.sobria,PFU,23,23
0,A.sobria,2M,2M,Bd1_A.sobria,PFU,26,26
0,A.sobria,2M,2M,Bd1_A.sobria,PFU,25,25
0,A.sobria,2M,2M,Phage_A.sobria,PFU,325,325
0,A.sobria,2M,2M,Phage_A.sobria,PFU,17,17
0,A.sobria,2M,2M,Phage_A.sobria,PFU,31,31
0,A.sobria,2M,2M,Phage_A.sobria,PFU,323,323
0,A.sobria,2M,2M,Phage_A.sobria,PFU,236,236
0,A.sobria,2M,2M,Phage_A.sobria,PFU,321,321
0,A.sobria,2M,2M,Phage_A.sobria,PFU,112,112
0,A.sobria,2M,2M,Phage_A.sobria,PFU,144,144
0,A.sobria,2M,2M,Phage_A.sobria,PFU,178,178
0,A.sobria,3M,3M,A_Bd1_Bd2,PFU,40,40
0,A.sobria,3M,3M,A_Bd1_Bd2,PFU,37,37
