OTUID,V92S41260,SSLF1563,SLS31664,SFR2044,V57VSLS520,VSLS52145,SSL2246,SL529,Soil72,SOIL72,SOIL82,S4WOOD,SOIL4,SOIL4FRASS,SOILA,SOILVELVET,SWOODSPIDER,V88soil,SLSU856,SLS4957
a5075995b19e78a568b318d3f7201001,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ff09b0e20997f25f80fa06055d34dbf1,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3b9711598688dba2bc74c93fec42b971,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
08e81e3334289b7bfcb5bbe64af1ca87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
ca045515917b532001e8732f13a8238f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3dc5e170caa97c944017876acdee126e,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
1b8af99bc490b54a3a6ad15c21da88e7,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
da58b333ac58c5beb3ad2bbfe6956cf3,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,22,0,0,0
0b9b4a356529d372b78c0bf8bc0fff11,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,14,0,0,0,0
8f4ccbaecdb53fdca2de8969614c1cd2,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0
c69227444cdeddc49351532cf0703236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fe64cc4e395c1d15d8983bbc064520bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7b2e6bc3bfae3c0beaeefdd0434944dd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
5e2d5c4b0790304da1d97b2e48bf684a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0a81a879388a24f0299caea9cd0c2cc6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0d6ac803ba5e1756d079f2aec651a7f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
8f1b241c2c4938d25a4eb406636b1b78,0,0,0,0,0,0,0,0,0,0,0,1038,0,0,0,0,84,0,0,0
d06ba82697d7c4f7d36c992cbaf75ed7,0,0,0,0,0,0,0,0,0,0,0,58,26,0,0,0,0,0,0,0
19fa267519822c18f2aa7a302dbea86d,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
c18f3dd637b6f82e7f12ff0abe4430e2,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
afc9904c0b6e52aec3e4b29bc09e1316,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ddfa88cd240e0aae2997faa8ad9a33bc,0,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1572cbfa15fb0bb81ea07feaec05304d,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0
7fe2acec07a2ac77adadab2031894ed7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f4ec67a2235f44cc9fb5905909a6eb6e,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0
cd503882d4c719ad4a261a3bbce4004f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e47e8cf8a51ec112c9b931b2635d5edc,0,0,0,0,0,0,0,0,0,0,0,469,0,0,0,0,0,0,0,0
db7d75bb3918e2958590f0e81defb41c,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0
cac58d89843b9b0fcf9a6222297f85b5,0,0,0,0,0,0,0,0,0,0,0,1327,0,0,0,0,0,0,0,0
d8f5ed1f0833bfc647c09e6d9936a927,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0
eec27cd4f85615b207c5b2e4aebde8fa,0,0,0,0,0,0,0,0,0,0,0,15,0,0,175,0,0,0,0,0
