Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
29fddc54fc90fc2cc52d12ed72d5cdf7,Archaea,Euryarchaeota,Thermoplasmata,E2,[Methanomassiliicoccaceae],,
74b53e396c3fa32181af3f7ec1ca1432,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
6bb1e78459af0e669ccac798b7ac87eb,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus Koribacter,
8f5bbe668ecc526fa7eb4e36618b2462,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
6077d646dc5fc773afac4eee8480dba4,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
81aa3d7bf0e6579f88671a4de4f73b15,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
113e54232b0718184ab01b78ce8ef656,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,
0ffbdb6ebdda5fbcd2e03c45d11af2d9,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
bb7ae597b8b9d8e0655727bcaa1c3a3d,Bacteria,Acidobacteria,TM1,,,,
36df73c16871abc3cd9009fda200a8f7,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,,,
3e66d192f2aebbe247457fc3978d1b5b,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
d5e5bcb0b16a6c12ff58420fc60846b3,Bacteria,Acidobacteria,DA052,Ellin6513,,,
46462a5c0717f709a3f6335bbdabf9ff,Bacteria,Proteobacteria,Betaproteobacteria,,,,
28cf8eb921bf44131c7b8f50c6bad4c9,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
a12db6c2fade63a523d0fc2b0787ed3a,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
9bddf17042b80c44c60e642d5af0cdbd,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
bae047df15ffa768b5e6293e3a26f863,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
ecb33136a291fdd92e6d58fce64373b0,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
b4534d5c0c4418b2aa00fa123b85fad2,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
3fd823eabd8a185f3735d0ef934dfb1a,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
39d7532d296f8783e31a27dfd29a32be,Bacteria,WPS-2,,,,,
758a7e60b3f97226aa5b164ea378ec71,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
9b8d770ad8bedc95fb2491bd4705cbe2,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
b7803af94110eab584ede46f974dceeb,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
fabc529a587b8227580c1aa97eddec9c,Archaea,Crenarchaeota,MBGA,NRP-J,,,
a6c03b2b4f693c8f8b0e224b8057464a,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,,
0d05c9cf387d20c99ceec65d83a3d69a,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
15a5be871081bcaeb786dcfd828c3ec1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
c37eeb7a77219c9c764b3e066cf9a1b1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
06d3ba6fc06b57b9fc7a97c451e3a70c,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,bryophila
410f1b17c2fddbe2bb49a4b9f52136aa,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,
f88b580d56849236c5f038c0d6edcbd3,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
7a83b130fe4b45c9d894c4b13f2e2320,Bacteria,Acidobacteria,DA052,Ellin6513,,,
431b51bb1ea8c016778de631a60272bd,Bacteria,Elusimicrobia,Elusimicrobia,Elusimicrobiales,,,
05cdad59a578a4bec077c04f2f8fb89d,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
500cfd932f7afed01d60342c1ed69e8b,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
a07eff651650ef56aa905e169f5315eb,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
c728db0a39ffcd40e58dd84831880fde,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
e0ff7c1de2a7ba935ce30502b696a1cf,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,,
029ad88e00381e5d7ccba8db53f8bdcc,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
8ccd6c78143a1c9e4d3626697fc96420,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
8541252e15304fa9e09bf1c0a494217d,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus Koribacter,
9aefcffb348ac99a00bd7617e53cb2f7,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
3a82485d97530d8c22f5e7e5e8eea3f7,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
6ecea1677b3b035b8d383b26c8a47f2a,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,,,
e2888777a3b75c1b32af6301a96902d8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
ac81db7f16cd11a545955138c4a16c29,Archaea,Euryarchaeota,Thermoplasmata,E2,[Methanomassiliicoccaceae],,
1c77bf1dfb6a607d045534dc2884cb42,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
a2a391e6bbd973ec2b8a2a65b02fcb04,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
838d9d85e9772d712fbc0e3830627e53,Archaea,Euryarchaeota,Thermoplasmata,E2,[Methanomassiliicoccaceae],,
dcc74392b206754dcba4a9ca86eba079,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
3a8a7409bdc33da14a01ec3e3313b9a7,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
483f0f99446af8d753f372d4275206bf,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
