OTUID,OrigID,SeqFacility,Batch No,Experiment,Sample Type,Site No.,Locality,ID
V92S41159,V92S41260,GW,N4,Feeding,Soil,Site 6 ,Anembo ,FrB01
V92S41260,V92S41260,GW,N4,Feeding,Soil,Site 6 ,Anembo ,FrB02
SSLF1563,SSLF1563,GW,N4,Feeding,Soil,Site 8a,"Badja Road, Badja B",FrB03
SLS31664,SLS31664,GW,N3,Feeding,Soil,Site 6 ,Anembo ,FrB04
SFR2044,SFR2044,GW,N1,Feeding,Soil,Site 6 ,Anembo ,FrB05
V57VSLS520,V57VSLS520,GW,N2,Feeding,Soil,Site 6 ,Anembo ,FrB06
VSLS52145,VSLS52145,GW,N1,Feeding,Soil,Site 6 ,Anembo ,FrB07
SSL2246,SSL2246,GW,N4,Feeding,Soil,Site 6 ,Anembo ,FrB08
SL529,SL529,GW,N1,Feeding,Soil,Site 8a,"Badja Road, Badja B",FrB09
SLSU856,SLSU856,GW,N2,Feeding,Soil,Site 8a,"Badja Road, Badja B",FrB10
SLS4957,SLS4957,GW,N2,Feeding,Soil,Site 6 ,Anembo ,FrB11
Soil72,820-72Soil,BRF,M4,Feeding,Soil,Site 7a,Hereford,FrA01
SOIL72,820-72SOIL,BRF,M4,Feeding,Soil,Site 7a,Hereford,FrA02
SOIL82,820-82SOIL,BRF,M4,Feeding,Soil,Site 7a,Hereford,FrA03
S4WOOD,820-S4WOOD,BRF,M4,Feeding,Soil,Site 6 ,Anembo ,FrA04
SOIL4,820-SOIL4,BRF,M4,Feeding,Soil,Site 6 ,Anembo ,FrA05
SOIL4FRASS,820-SOIL4FRASS,BRF,M4,Feeding,Soil,Site 6 ,Anembo ,FrA06
SOILA,820-SOILA,BRF,M4,Feeding,Soil,Site 6 ,Anembo ,FrA07
SOILVELVET,820-SOILVELVET,BRF,M4,Feeding,Soil,Site 6 ,Anembo ,FrA08
SWOODSPIDER,820-SWOODSPIDER,BRF,M4,Feeding,Soil,Site 6 ,Anembo ,FrA09
V88soil,820-V88soil,BRF,M4,Feeding,Soil,Site 7a,Hereford,FrA10
